age,title,bill_id,bill_number,content
21,2022년도 공공자금관리기금운용계획변경안,PRC_G2E2S0C5Z1F3W0N9X5C0D1N8Y6M8B8,2115575,
21,2020년도 소상공인시장진흥기금운용계획변경안,PRC_Z2W0U0X9M1R1G0K9I1T1V1P5L9W5N4,2103753,
21,2019회계연도 한국방송공사 결산 승인안,PRC_B2K0T0U6X0E1U1U5H1Z0Z5J1F3S5Q9,2100029,
21,2021년도 신용보증기금운용계획변경안,PRC_O2Q1S0A7E0B2V0O9P5R4N3H6V7M7F1,2111299,
21,2021년도 소상공인시장진흥기금운용계획변경안,PRC_G2Z1J0E7F0T2P0I9R5L3D4G2H9N3H0,2111297,
21,2020회계연도 예비비지출 승인의 건,PRC_A2K1Z0O5N3K1U1U4E2O9R0P0L5Z4H1,2110475,
21,2022년도 복권기금운용계획변경안,PRC_S2U2S0Y5S1N3M0H9R4F9R4I4V9P3W2,2115574,
21,2020년도 고용보험기금운용계획변경안,PRC_U2Y0W0L6T0A4S0R9Z5Q1G4F7B1L7R8,2100151,
21,2020년도 신용보증기금운용계획변경안,PRC_Q2X0R0C9S1A1G0H9B0K8T1S1P4Q1X2,2103749,
21,2020년도 공공자금관리기금운용계획변경안,PRC_Y2T0Z0B9Q1A1P0D9A0E8V4T7G0J2Y8,2103750,
21,2020년도 기술보증기금운용계획변경안,PRC_Q2W0Q0N9D1Q1K0J9M1Z0P3O4I0A2L0,2103752,
21,2021회계연도 결산,PRC_N2D2K0J5T3U1D1H7L2F8C2F4M5I8J6,2115801,
21,2021년도 근로복지진흥기금운용계획변경안,PRC_R2S1C0Q3J0W4K0F9R1G8N5C4K0H0Y0,2108505,
21,2020년도 산업재해보상보험및예방기금운용계획변경안,PRC_A2J0E0P6T0I4Z0M9P5L2I3P2Y1K1D6,2100153,
21,2020년도 전력산업기반기금운용계획변경안,PRC_S2O0Y0V6S0W4L0T9V4S8Q2T7R1O2R3,2100142,
21,2020년도 기술보증기금운용계획변경안,PRC_A2Y0G0D6D0I4Y0A9Z4L9W5H8U0V3M8,2100146,
21,2022년도 대외경제협력기금운용계획변경안,PRC_Y2U2B0A5J1O3Z0K9B5B0I5Q1X5I3O9,2115576,
21,2020년도 공공자금관리기금운용계획변경안,PRC_O2F0U0G6U0Z4D0P9Z4N1T2J8J0T5R5,2100125,
21,2021년도 방송통신발전기금운용계획변경안,PRC_X2M1F0S3B0R4R0R9J1M6P2N8J2C9L2,2108500,
21,2022년도 주택도시기금운용계획변경안,PRC_P2N2X0A5S1B3M1Q0U0A0A3N2G2V0I0,2115590,
